count,latitude,longitude,city,region_country,reason
1,10.70936,105.12199,,,Confirmed Contributor
2,47.6137,-122.19093,,,Confirmed Contributor
2,-33.44599,-70.66706,,,Confirmed Contributor
5,52.37317,4.89066,,,Confirmed Contributor
3,52.23498,21.00849,,,Confirmed Contributor
2,37.35239,-121.95308,,,Confirmed Contributor
1,43.71614,10.39658,,,Confirmed Contributor
2,44.06034,-79.45584,,,Confirmed Contributor
1,20.96778,-89.62426,,,Confirmed Contributor
1,51.13014,4.5736,,,Confirmed Contributor
2,52.04166,5.66881,,,Confirmed Contributor
2,-26.20145,28.04549,,,Confirmed Contributor
1,51.6521,-0.08153,,,Confirmed Contributor
1,43.70343,7.26627,,,Confirmed Contributor
1,43.17885,-73.04835,,,Confirmed Contributor
1,45.69874,9.06049,,,Confirmed Contributor
1,44.86549,-0.60028,,,Confirmed Contributor
1,52.20349,4.6314,,,Confirmed Contributor
1,-32.40548,-71.32327,,,Confirmed Contributor
2,52.3338,-2.06351,,,Confirmed Contributor
5,-23.54867,-46.63825,,,Confirmed Contributor
1,54.3227,10.13593,,,Confirmed Contributor
2,47.49814,19.04055,,,Confirmed Contributor
1,39.82485,-79.75448,,,Confirmed Contributor
4,1.28944,103.84998,,,Confirmed Contributor
1,48.69088,9.16739,,,Confirmed Contributor
3,48.58295,7.74375,,,Confirmed Contributor
1,14.97238,102.0994,,,Confirmed Contributor
1,47.30752,-122.22575,,,Confirmed Contributor
1,40.11903,-76.0725,,,Confirmed Contributor
1,38.87846,-77.17577,,,Confirmed Contributor
1,38.45262,-90.22078,,,Confirmed Contributor
1,43.58683,1.31967,,,Confirmed Contributor
3,45.50906,-73.55336,,,Confirmed Contributor
1,49.19205,16.61319,,,Confirmed Contributor
2,40.41669,-3.70034,,,Confirmed Contributor
1,1.55356,110.33898,,,Confirmed Contributor
1,40.44217,-79.99496,,,Confirmed Contributor
1,48.34081,16.71781,,,Confirmed Contributor
1,-8.05519,-34.87118,,,Confirmed Contributor
1,45.64875,-73.78489,,,Confirmed Contributor
1,48.89434,2.28834,,,Confirmed Contributor
2,46.06668,8.9221,,,Confirmed Contributor
2,25.01171,121.46588,,,Confirmed Contributor
1,52.40019,16.92755,,,Confirmed Contributor
2,12.98945,77.6498,,,Confirmed Contributor
1,43.44688,3.75382,,,Confirmed Contributor
1,-23.62266,-46.54886,,,Confirmed Contributor
1,45.66331,-73.88631,,,Confirmed Contributor
1,-23.39667,-46.32152,,,Confirmed Contributor
2,57.69699,11.9865,,,Confirmed Contributor
1,52.37207,9.73569,,,Confirmed Contributor
1,49.09732,33.44487,,,Confirmed Contributor
1,34.69507,-84.48247,,,Confirmed Contributor
2,60.20524,24.65408,,,Confirmed Contributor
1,47.93177,-2.39873,,,Confirmed Contributor
3,49.26357,-123.13857,,,Confirmed Contributor
1,49.59994,11.0063,,,Confirmed Contributor
1,38.89076,-77.08475,,,Confirmed Contributor
1,41.89056,12.49427,,,Confirmed Contributor
3,43.77458,-79.25236,,,Confirmed Contributor
1,48.80349,9.52598,,,Confirmed Contributor
2,49.00809,8.40376,,,Confirmed Contributor
1,50.84554,4.35571,,,Confirmed Contributor
1,52.26728,8.05319,,,Confirmed Contributor
1,47.25308,-122.44153,,,Confirmed Contributor
4,45.76731,4.83431,,,Confirmed Contributor
1,40.9278,-74.23183,,,Confirmed Contributor
1,49.87236,8.6509,,,Confirmed Contributor
1,49.1258,8.59768,,,Confirmed Contributor
1,49.67497,12.16054,,,Confirmed Contributor
1,29.48347,-98.46648,,,Confirmed Contributor
1,45.95807,4.64644,,,Confirmed Contributor
1,51.50935,-0.59545,,,Confirmed Contributor
1,37.97615,23.76154,,,Confirmed Contributor
1,52.95738,4.7585,,,Confirmed Contributor
1,36.84513,-75.97544,,,Confirmed Contributor
