words
compliance
hipaa
gov
on-prem
onprem
premise
continuous delivery
continuous integration
cicd
ci/cd
replace
replacement
migration
migrate
plugin
slack
ms teams
teams
microsoft
hipchat
skype
devops
dev
infosec
comms
messaging
communication
comm
collaboration
collab
chat
sso
saml
ldap
high availability
elasticsearch
chatops
integration
jira
jenkins
incident
security
secure
