fct_name,column_name,id_to_exclude,comment
fct_root_models,child,base_%__tracks,Models called base_%__tracks union multiple sources
fct_staging_dependent_on_staging,child,stg_%__tracks,Models called stg_%__tracks align the name of unioned sources
fct_root_models,child,telemetry_days,Self-contained logic does not require any external data sources to execute
