version,release_date,supported,release_number,actual_release_date,rc1_date
9.2.0,2023-11-16,FALSE,123,2023-11-16,2023-10-20
9.3.0,2023-12-15,FALSE,124,2023-12-15,2023-11-17
9.4.0,2024-01-16,FALSE,125,2024-01-16,2023-12-08
9.5.0,2024-02-16,FALSE,126,2024-02-16,2024-01-22
9.6.0,2024-03-15,FALSE,127,2024-03-15,2024-02-16
9.7.0,2024-04-15,FALSE,128,2024-04-15,2024-03-18
9.8.0,2024-05-16,FALSE,129,2024-05-16,2024-04-19
9.9.0,2024-06-14,FALSE,130,2024-06-14,2024-05-17
9.10.0,2024-07-16,FALSE,131,2024-07-16,2024-06-17
9.11.0,2024-08-16,TRUE,132,2024-08-16,2024-07-19
10.0.0,2024-09-16,FALSE,133,2024-09-16,2024-08-19
10.1.0,2024-10-16,FALSE,134,2024-10-16,2024-09-19
10.2.0,2024-11-15,TRUE,135,2024-11-15,2024-10-18
10.3.0,2024-12-16,TRUE,136,2024-12-16,2024-11-20
10.4.0,2025-01-16,TRUE,137,2025-01-16,2024-12-17
