id,date,forum_site,registrations,posts,users
31E960F6,2020-07-08,forum.mattermost.org,1,15,
8E351F53,2020-07-09,forum.mattermost.org,2,10,
91BB1F8F,2020-07-10,forum.mattermost.org,2,9,
3A0FB39E,2020-07-11,forum.mattermost.org,1,1,
F1E8BA24,2020-07-12,forum.mattermost.org,0,0,
1FE7698B,2020-07-13,forum.mattermost.org,2,11,
FB86C4B7,2020-07-14,forum.mattermost.org,4,11,
D6044B5E,2020-07-15,forum.mattermost.org,3,10,
E2C81773,2020-04-01,community.mattermost.com/core/channels/peer-to-peer-help,1,32,
2B8B07C6,2020-04-02,community.mattermost.com/core/channels/peer-to-peer-help,2,15,
1F68160D,2020-04-03,community.mattermost.com/core/channels/peer-to-peer-help,1,22,
C872F4F7,2020-04-04,community.mattermost.com/core/channels/peer-to-peer-help,1,1,
3625AC1B,2020-04-05,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
4C4BADCD,2020-04-06,community.mattermost.com/core/channels/peer-to-peer-help,2,18,
397FDEB5,2020-04-07,community.mattermost.com/core/channels/peer-to-peer-help,2,8,
7EC7D126,2020-04-08,community.mattermost.com/core/channels/peer-to-peer-help,3,0,
5F8F18D0,2020-04-09,community.mattermost.com/core/channels/peer-to-peer-help,4,0,
2056A45B,2020-04-10,community.mattermost.com/core/channels/peer-to-peer-help,1,5,
6AE49589,2020-04-11,community.mattermost.com/core/channels/peer-to-peer-help,2,1,
DD6E9DCC,2020-04-12,community.mattermost.com/core/channels/peer-to-peer-help,4,4,
4F0B8D43,2020-04-13,community.mattermost.com/core/channels/peer-to-peer-help,3,35,
E0C71D5D,2020-04-14,community.mattermost.com/core/channels/peer-to-peer-help,4,0,
F4DE0763,2020-04-15,community.mattermost.com/core/channels/peer-to-peer-help,3,0,
0FDFD253,2020-04-16,community.mattermost.com/core/channels/peer-to-peer-help,2,3,
F999784F,2020-04-17,community.mattermost.com/core/channels/peer-to-peer-help,1,3,
761898F4,2020-04-18,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
C3BD8D3C,2020-04-19,community.mattermost.com/core/channels/peer-to-peer-help,1,0,
1D84CC0E,2020-04-20,community.mattermost.com/core/channels/peer-to-peer-help,2,2,
0481C848,2020-04-21,community.mattermost.com/core/channels/peer-to-peer-help,1,24,
2DD158B0,2020-04-22,community.mattermost.com/core/channels/peer-to-peer-help,4,25,
4A54D6AA,2020-04-23,community.mattermost.com/core/channels/peer-to-peer-help,4,2,
C1450B10,2020-04-24,community.mattermost.com/core/channels/peer-to-peer-help,1,0,
62A2BC53,2020-04-25,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
5A56E5DD,2020-04-26,community.mattermost.com/core/channels/peer-to-peer-help,1,0,
0D4D41FB,2020-04-27,community.mattermost.com/core/channels/peer-to-peer-help,1,1,
29CE7DC6,2020-04-28,community.mattermost.com/core/channels/peer-to-peer-help,1,18,
B51442DC,2020-04-29,community.mattermost.com/core/channels/peer-to-peer-help,2,29,
921EA457,2020-04-30,community.mattermost.com/core/channels/peer-to-peer-help,1,16,
23E1C33D,2020-05-01,community.mattermost.com/core/channels/peer-to-peer-help,3,9,
38EADF2F,2020-05-02,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
4AC7ECA0,2020-05-03,community.mattermost.com/core/channels/peer-to-peer-help,0,2,
F7AC781A,2020-05-04,community.mattermost.com/core/channels/peer-to-peer-help,1,7,
61BD5EB5,2020-05-05,community.mattermost.com/core/channels/peer-to-peer-help,2,5,
9074216B,2020-05-06,community.mattermost.com/core/channels/peer-to-peer-help,1,0,
AD066BF6,2020-05-07,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
F0117933,2020-05-08,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
D40030C0,2020-05-09,community.mattermost.com/core/channels/peer-to-peer-help,0,2,
3BB9EB39,2020-05-10,community.mattermost.com/core/channels/peer-to-peer-help,1,5,
C0ECA47E,2020-05-11,community.mattermost.com/core/channels/peer-to-peer-help,0,2,
F1DCB86E,2020-05-12,community.mattermost.com/core/channels/peer-to-peer-help,2,4,
B9AD058C,2020-05-13,community.mattermost.com/core/channels/peer-to-peer-help,4,5,
0C6A24BD,2020-05-14,community.mattermost.com/core/channels/peer-to-peer-help,2,56,
A84A4CD5,2020-05-15,community.mattermost.com/core/channels/peer-to-peer-help,4,10,
A2B013DF,2020-05-16,community.mattermost.com/core/channels/peer-to-peer-help,3,3,
260182BE,2020-05-17,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
D24E9354,2020-05-18,community.mattermost.com/core/channels/peer-to-peer-help,0,5,
B6841F9B,2020-05-19,community.mattermost.com/core/channels/peer-to-peer-help,2,9,
4DEB1B8E,2020-05-20,community.mattermost.com/core/channels/peer-to-peer-help,5,4,
097ADE01,2020-05-21,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
6D7186C3,2020-05-22,community.mattermost.com/core/channels/peer-to-peer-help,2,3,
005B9A03,2020-05-23,community.mattermost.com/core/channels/peer-to-peer-help,1,1,
DB1E0622,2020-05-24,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
74892959,2020-05-25,community.mattermost.com/core/channels/peer-to-peer-help,0,2,
5A7B9524,2020-05-26,community.mattermost.com/core/channels/peer-to-peer-help,2,10,
47BE4DC7,2020-05-27,community.mattermost.com/core/channels/peer-to-peer-help,3,0,
CF36B3E6,2020-05-28,community.mattermost.com/core/channels/peer-to-peer-help,5,7,
8533269E,2020-05-29,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
C15C66C5,2020-05-30,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
46FEC16D,2020-05-31,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
8F99C505,2020-06-01,community.mattermost.com/core/channels/peer-to-peer-help,1,0,
972CB43B,2020-06-02,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
3E909514,2020-06-03,community.mattermost.com/core/channels/peer-to-peer-help,1,1,
